"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT08"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-01-13","4.70","0.00","60","64","52","  260","  270","14.1","16.1",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-01-14","9.17","1.53","55","59","52","  260","  250","23.9","28.0","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-01-15","10.29","0.48","57","59","50","  110","  130","21.0","27.1","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-01-16","19.69","0.49","54","59","50","  260","  260","32.0","38.0","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-01-17","7.61","0.00","53","58","47","  280","  280","17.0","21.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-01-18","5.14","0.00","53","60","45","  260","  270","12.1","15.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-01-19","4.70","0.00","52","57","43","  250","  240","14.1","17.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-01-20","5.37","0.00","52","59","42","  260","  240","14.1","16.1",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-01-21","4.47","0.00","53","62","41","  250","  280","13.0","17.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-01-22","5.59","0.00","51","60","41","   20","   30","21.0","30.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-01-23","6.71","0.00","56","68","47","   40","   30","18.1","25.9",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-01-24","4.47","0.00","54","65","41","  240","  240","13.0","15.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-01-25","4.25","0.00","54","69","43","  260","  260","12.1","14.1",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-01-26","5.37","0.00","57","68","46","  240","  250","14.1","17.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-01-27","4.47","0.00","57","67","45","  260","  260","13.0","16.1",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-01-28","5.37","0.00","55","63","47","  260","  270","14.1","16.1",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-01-29","8.50","0.28","55","57","49","  260","  250","21.0","23.9","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-01-30","6.93","0.40","52","59","48","   60","  290","17.0","23.0","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-01-31","3.58","0.00","53","67","43","  190","  180","13.0","16.1","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-02-01","4.92","0.00","54","65","41","  270","  270","14.1","17.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-02-02","4.92","0.00","54","67","44","  270","  270","13.0","15.0","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-02-03","5.59","0.00","58","67","50","  260","  260","17.0","19.9",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-02-04","5.82","0.00","56","66","46","  250","  250","13.0","15.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-02-05","11.18","0.01","57","63","50","  260","  260","28.0","32.0","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-02-06","10.07","0.00","58","71","53","  260","  320","21.0","30.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-02-07","4.47","0.00","59","67","47","  230","  210","15.0","19.9",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-02-08","4.92","0.00","59","71","47","  270","  260","15.0","17.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-02-09","4.25","0.00","60","76","48","  260","  290","12.1","15.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-02-10","6.71","0.00","65","78","52","  260","  280","16.1","19.9",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-02-11","8.95","0.00","57","60","49","  250","  250","23.0","27.1",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-02-12","6.04","0.00","52","59","45","  250","  240","17.0","21.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-02-13","6.49","0.00","54","63","48","  180","  140","13.0","19.9",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-02-14","12.75","0.00","56","59","49","  260","  260","31.1","36.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-02-15","10.51","0.00","53","62","46","  260","  350","23.9","28.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-02-16","5.14","0.00","53","63","41","  270","  270","15.0","19.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-02-17","6.04","0.00","55","68","47","  270","  240","13.0","16.1",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-02-18","6.93","0.00","57","68","47","  280","  220","15.0","19.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-02-19","4.92","0.00","54","66","43","  260","  250","14.1","16.1",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-02-20","6.26","0.00","57","68","46","  260","  270","16.1","19.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-02-21","12.53","0.00","57","63","49","  260","  270","45.0","53.9",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-02-22","26.17","0.00","53","57","48","  270","  270","44.1","49.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-02-23","8.50","0.28","49","53","41","  250","  250","36.0","42.9","    1",,"    1","    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-02-24","16.11","2.04","49","56","46","  140","  140","29.1","40.9","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-02-25","9.17","1.77","50","54","43","  100","  220","21.0","27.1","    1",,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-02-26","6.26","0.08","46","55","41","  220","  220","15.0","21.0","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-02-27","7.61","0.20","50","54","46","  140","  160","16.1","23.9","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-02-28","9.84","0.20","52","57","46","  250","  210","21.0","27.1","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-03-01","18.57","0.09","53","55","49","  260","  270","40.0","46.1","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-03-02","6.49","0.00","52","60","44","  290","  280","21.9","27.1",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-03-03","5.82","0.00","52","59","44","  260","  240","15.0","18.1",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-03-04","8.72","0.00","53","59","46","  260","  260","18.1","23.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-03-05","7.83","0.06","53","58","50","  240","  200","16.1","21.0","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-03-06","8.72","0.00","54","59","49","  260","  270","19.9","23.9","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-03-07","7.38","0.00","53","59","46","  270","  260","19.9","23.9",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-03-08","6.71","0.00","52","58","44","  260","  270","17.0","21.9",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-03-09","6.49","0.00","55","62","48","  260","  250","19.9","21.9",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-03-10","8.72","0.97","55","57","51","  110","  130","16.1","19.9","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-03-11","5.82","0.14","58","61","57","  240","  270","12.1","13.0","    1","    1",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-03-12","6.71","0.00","58","62","55","  250","  230","16.1","18.1","    1","    1",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-03-13","7.16","0.00","56","62","54","  260","  270","17.0","19.9","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-03-14","8.95","1.97","56","59","55","  100","  140","17.0","25.1","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-03-15","8.05","1.18","57","59","54","  260","  250","21.0","25.9","    1","    1",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-03-16","6.04","0.00","56","60","53","  260","  250","14.1","17.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-03-17","6.26","0.00","55","62","48","  270","  260","16.1","19.9","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-03-18","6.04","0.00","60","75","50","  240","  240","15.0","19.9",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-03-19","7.61","0.06","60","61","53","  120","   90","17.0","23.0","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-03-20","8.50","0.07","56","61","53","  260","  250","18.1","21.0","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-03-21","14.09","1.01","54","60","48","  270","  270","33.1","38.9","    1",,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-03-22","9.62","0.18","53","59","48","  250","  260","23.0","25.9","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-03-23","10.51","0.00","54","60","51","  260","  270","28.0","32.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-03-24","14.32","0.00","57","63","53","  260","  330","25.1","29.1",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-03-25","10.29","0.00","56","65","49","  250","  240","21.9","27.1",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-03-26","14.32","0.00","57","64","51","  270","  320","25.9","34.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-03-27","7.61","0.00","58","72","47","  270","  280","17.0","21.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-03-28","6.71","0.00","60","68","52","  250","  260","18.1","21.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-03-29","10.51","0.98","54","59","48","  240","  240","21.9","27.1","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-03-30","6.93","0.71","52","59","46","  320","  330","23.0","28.0","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-03-31","8.05","0.00","53","61","45","  250","  280","18.1","21.9",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-04-01","6.93","0.00","56","66","48","  240","  240","17.0","19.9",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-04-02","7.61","0.00","56","62","49","  260","  250","19.9","23.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-04-03","14.09","0.01","57","62","52","  260","  270","35.1","42.1",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-04-04","14.32","0.00","55","61","49","  260","  280","28.0","32.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-04-05","8.05","0.00","55","65","47","  260","  260","21.9","25.9",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-04-06","7.61","0.00","59","70","49","  250","  260","18.1","21.9",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-04-07","7.83","0.00","59","68","52","  260","  250","18.1","21.9",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-04-08","7.61","0.00","57","65","51","  250","  250","17.0","21.0","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-04-09","6.04","0.00","56","62","52","  270","  280","16.1","19.0","    1","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-04-10","4.92","0.00","56","63","53","  270","  280","14.1","18.1","    1","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-04-11","6.26","0.00","56","61","53","  270","  280","15.0","19.0","    1","    1",,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-04-12","6.71","0.02","56","60","54","  260","  140","12.1","17.0","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-04-13","6.71","0.06","55","60","53","  270","  270","12.1","16.1","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-04-14","7.83","0.00","56","63","53","  260","  260","15.0","21.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-04-15","8.05","0.00","57","64","49","  260","  270","19.9","23.0",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-04-16","7.38","0.00","56","61","52","  240","  280","14.1","19.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-04-17","7.38","0.00","58","64","55","  270","  270","18.1","21.9",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-04-18","9.40","0.00","58","65","53","  270","  280","21.9","27.1",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-04-19","8.28","0.00","57","65","49","  250","  250","23.0","27.1",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-04-20","6.71","0.00","61","73","52","  260","  260","18.1","21.9",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-04-21","7.38","0.00","67","82","56","  260","  270","19.9","23.9",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-04-22","7.38","0.00","67","81","57","  260","  290","15.0","19.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-04-23","7.83","0.00","63","69","57","  240","  220","16.1","19.9","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-04-24","7.38","0.00","61","67","57","  270","  260","16.1","21.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-04-25","8.72","0.00","61","67","57","  260","  250","16.1","21.9",,,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-04-26","8.50","0.00","60","65","54","  260","  250","18.1","23.0","    1","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-04-27","6.71","0.00","57","63","54","  260","  240","16.1","19.9","    1","    1",,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-04-28","7.61","0.00","56","63","54","  270","  280","16.1","21.0","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-04-29","7.16","0.00","57","63","54","  250","  260","18.1","23.9","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-04-30","5.82","0.00","57","63","56","  270","  280","14.1","18.1","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-05-01","9.40","0.04","59","64","54","  250","  240","18.1","23.9","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-05-02","11.41","0.00","58","64","53","  260","  260","21.9","27.1",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-05-03","8.28","0.00","57","64","49","  250","  240","19.9","25.9",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-05-04","8.28","0.13","58","64","53","  240","  240","18.1","25.9","    1",,"    1",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-05-05","8.28","0.08","59","66","55","  270","  270","18.1","21.0","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-05-06","10.29","0.00","59","66","51","  270","  270","21.0","25.1",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-05-07","8.50","0.00","60","67","55","  240","  240","18.1","25.1",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-05-08","9.62","0.00","61","67","57","  250","  250","21.9","23.9",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-05-09","11.41","0.00","59","66","55","  260","  260","31.1","36.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-05-10","8.05","0.00","59","66","53","  200","  190","17.0","23.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-05-11","8.28","0.00","60","66","54","  260","  250","18.1","23.0",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-05-12","7.16","0.00","60","68","54","  220","  260","17.0","21.9",,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-05-13","5.82","0.00","60","66","57","  270","  280","14.1","19.0","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-05-14","7.61","0.00","61","70","58","  250","  250","17.0","21.0","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-05-15","6.93","0.00","61","66","58","  250","  260","14.1","18.1","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-05-16","8.50","0.00","60","66","56","  260","  260","18.1","23.9","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-05-17","7.16","0.00","59","64","56","  260","  260","16.1","21.9","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-05-18","6.04","0.00","61","70","58","  250","  240","15.0","19.0","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-05-19","6.04","0.00","61","64","59","  260","  220","12.1","16.1","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-05-20","7.83","0.00","62","67","59","  270","  260","16.1","19.9","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-05-21","7.16","0.00","61","67","59","  250","  260","14.1","19.9","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-05-22","5.59","0.00","61","64","59","  230","  230","13.0","19.0","    1",,,"    1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-05-23","5.37","0.02","60","61","58","  250","  230","12.1","14.1","    1",,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-05-24",,"0.00","60","65","57",,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2023-05-25",,"0.01","61","65","59",,,,,,,,
